,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
505,506,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C
411,412,0,3,"Hart, Mr. Henry",male,,0,0,394140,6.8583,,Q
820,821,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,1,1,12749,93.5,B69,S
500,501,0,3,"Calic, Mr. Petar",male,17.0,0,0,315086,8.6625,,S
366,367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,1,0,110813,75.25,D37,C
619,620,0,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,S
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S
534,535,0,3,"Cacic, Miss. Marija",female,30.0,0,0,315084,8.6625,,S
168,169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S
834,835,0,3,"Allum, Mr. Owen George",male,18.0,0,0,2223,8.3,,S
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S
449,450,1,1,"Peuchen, Major. Arthur Godfrey",male,52.0,0,0,113786,30.5,C104,S
651,652,1,2,"Doling, Miss. Elsie",female,18.0,0,1,231919,23.0,,S
509,510,1,3,"Lang, Mr. Fang",male,26.0,0,0,1601,56.4958,,S
471,472,0,3,"Cacic, Mr. Luka",male,38.0,0,0,315089,8.6625,,S
524,525,0,3,"Kassem, Mr. Fared",male,,0,0,2700,7.2292,,C
400,401,1,3,"Niskanen, Mr. Juha",male,39.0,0,0,STON/O 2. 3101289,7.925,,S
126,127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q
470,471,0,3,"Keefe, Mr. Arthur",male,,0,0,323592,7.25,,S
324,325,0,3,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,,S
614,615,0,3,"Brocklebank, Mr. William Alfred",male,35.0,0,0,364512,8.05,,S
740,741,1,1,"Hawksford, Mr. Walter James",male,,0,0,16988,30.0,D45,S
591,592,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52.0,1,0,36947,78.2667,D20,C
543,544,1,2,"Beane, Mr. Edward",male,32.0,1,0,2908,26.0,,S
409,410,0,3,"Lefebre, Miss. Ida",female,,3,1,4133,25.4667,,S
202,203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,,S
386,387,0,3,"Goodwin, Master. Sidney Leonard",male,1.0,5,2,CA 2144,46.9,,S
805,806,0,3,"Johansson, Mr. Karl Johan",male,31.0,0,0,347063,7.775,,S
29,30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S
